Date,Ic
7/6/2020,0
7/7/2020,0
7/8/2020,2
7/9/2020,3
7/10/2020,8
7/13/2020,10
7/14/2020,12
7/15/2020,18
7/16/2020,25
7/17/2020,28
7/20/2020,31
7/21/2020,34
7/22/2020,37
7/23/2020,43
7/24/2020,46
7/27/2020,50
7/28/2020,52
7/29/2020,52
7/30/2020,56
7/31/2020,57
8/3/2020,58
8/4/2020,61
8/5/2020,66
8/6/2020,71
8/7/2020,77
8/10/2020,79
8/11/2020,83
8/12/2020,87
8/15/2020,93
8/16/2020,100
8/17/2020,124
8/18/2020,144
8/19/2020,173
8/20/2020,225
8/21/2020,279
8/22/2020,322
8/23/2020,375
8/24/2020,454
8/25/2020,543
8/26/2020,597
8/27/2020,657
8/28/2020,722
8/29/2020,772
8/30/2020,876
8/31/2020,1106
9/1/2020,1305
9/2/2020,1425
9/3/2020,1513
9/4/2020,1617
9/5/2020,1654
9/6/2020,1691
9/7/2020,1760
9/8/2020,1841
9/9/2020,1888
9/10/2020,1922
9/11/2020,1957
9/12/2020,1967
9/13/2020,1984
9/14/2020,2024
9/15/2020,2069
9/16/2020,2093
9/17/2020,2111
9/18/2020,2138
9/19/2020,2151
9/20/2020,2162
9/21/2020,2204
9/22/2020,2266
9/23/2020,2295
9/24/2020,2322
9/25/2020,2363
9/26/2020,2380
9/27/2020,2408
9/28/2020,2444
9/29/2020,2480
9/30/2020,2512
10/1/2020,2539
10/2/2020,2557
10/3/2020,2566
10/4/2020,2573
10/5/2020,2621
10/6/2020,2646
10/7/2020,2667
10/8/2020,2681
10/9/2020,2691
10/10/2020,2702
10/11/2020,2710
10/12/2020,2733
10/13/2020,2747
10/14/2020,2758
10/15/2020,2767
10/16/2020,2776
10/17/2020,2778
10/18/2020,2784
10/19/2020,2802
10/20/2020,2820
10/21/2020,2840
10/22/2020,2863
10/23/2020,2885
10/24/2020,2900
10/25/2020,2923
10/26/2020,2997
10/27/2020,3033
10/28/2020,3067
10/29/2020,3094
10/30/2020,3133
10/31/2020,3142
11/1/2020,3159
11/2/2020,3241
11/3/2020,3281
11/4/2020,3361
11/5/2020,3421
11/6/2020,3469
11/7/2020,3490
11/8/2020,3519
11/9/2020,3595
11/10/2020,3652
11/11/2020,3702
11/12/2020,3736
11/13/2020,3768
11/14/2020,3780
11/15/2020,3801
11/16/2020,3852
11/17/2020,3892
11/18/2020,3926
11/19/2020,3952
11/20/2020,3986
11/21/2020,3998
11/22/2020,4017
11/23/2020,4043
11/24/2020,4056
11/25/2020,4070
11/26/2020,4103
11/27/2020,4124
11/28/2020,4195
11/29/2020,4221
11/30/2020,4253
12/1/2020,4276
12/2/2020,4301
12/3/2020,4321
12/4/2020,4346
